frontendQuestionId,title,titleCn,titleSlug,difficulty,paidOnly
1581,Customer Who Visited but Did Not Make Any Transactions,进店却未进行过交易的顾客,customer-who-visited-but-did-not-make-any-transactions,Easy,True
1587,Bank Account Summary II,银行账户概要 II,bank-account-summary-ii,Easy,True
1596,The Most Frequently Ordered Products for Each Customer,每位顾客最经常订购的商品,the-most-frequently-ordered-products-for-each-customer,Medium,True
1607,Sellers With No Sales,没有卖出的卖家,sellers-with-no-sales,Easy,True
1613,Find the Missing IDs,找到遗失的ID,find-the-missing-ids,Medium,True
1623,All Valid Triplets That Can Represent a Country,三人国家代表队,all-valid-triplets-that-can-represent-a-country,Easy,True
1633,Percentage of Users Attended a Contest,各赛事的用户注册率,percentage-of-users-attended-a-contest,Easy,True
1635,Hopper Company Queries I,Hopper 公司查询 I,hopper-company-queries-i,Hard,True
1645,Hopper Company Queries II,,hopper-company-queries-ii,Hard,True
1651,Hopper Company Queries III,,hopper-company-queries-iii,Hard,True
1661,Average Time of Process per Machine,每台机器的进程平均运行时间,average-time-of-process-per-machine,Easy,True
1667,Fix Names in a Table,修复表中的名字,fix-names-in-a-table,Easy,True
1677,Product's Worth Over Invoices,发票中的产品金额,products-worth-over-invoices,Easy,True
1683,Invalid Tweets,无效的推文,invalid-tweets,Easy,True
1693,Daily Leads and Partners,每天的领导和合伙人,daily-leads-and-partners,Easy,True
1699,Number of Calls Between Two Persons,两人之间的通话次数,number-of-calls-between-two-persons,Medium,True
1709,Biggest Window Between Visits,访问日期之间最大的空档期,biggest-window-between-visits,Medium,True
1715,Count Apples and Oranges,苹果和橘子的个数,count-apples-and-oranges,Medium,True
1729,Find Followers Count,求关注者的数量,find-followers-count,Easy,True
1731,The Number of Employees Which Report to Each Employee,每位经理的下属员工数量,the-number-of-employees-which-report-to-each-employee,Easy,True
1741,Find Total Time Spent by Each Employee,查找每个员工花费的总时间,find-total-time-spent-by-each-employee,Easy,True
1747,Leetflex Banned Accounts,应该被禁止的Leetflex账户,leetflex-banned-accounts,Medium,True
1757,Recyclable and Low Fat Products,可回收且低脂的产品,recyclable-and-low-fat-products,Easy,True
1767,Find the Subtasks That Did Not Execute,寻找没有被执行的任务对,find-the-subtasks-that-did-not-execute,Hard,True
1777,Product's Price for Each Store,每家商店的产品价格,products-price-for-each-store,Easy,True
1783,Grand Slam Titles,大满贯数量,grand-slam-titles,Medium,True
1789,Primary Department for Each Employee,员工的直属部门,primary-department-for-each-employee,Easy,True
1795,Rearrange Products Table,每个产品在不同商店的价格,rearrange-products-table,Easy,True
1809,Ad-Free Sessions,没有广告的剧集,ad-free-sessions,Easy,True
1811,Find Interview Candidates,寻找面试候选人,find-interview-candidates,Medium,True
1821,Find Customers With Positive Revenue this Year,寻找今年具有正收入的客户,find-customers-with-positive-revenue-this-year,Easy,True
1831,Maximum Transaction Each Day,每天的最大交易,maximum-transaction-each-day,Medium,True
1841,League Statistics,联赛信息统计,league-statistics,Medium,True
1843,Suspicious Bank Accounts,,suspicious-bank-accounts,Medium,True
1853,Convert Date Format,转换日期格式,convert-date-format,Easy,True
1867,Orders With Maximum Quantity Above Average,,orders-with-maximum-quantity-above-average,Medium,True
1873,Calculate Special Bonus,计算特殊奖金,calculate-special-bonus,Easy,True
1875,Group Employees of the Same Salary,,group-employees-of-the-same-salary,Medium,True
1890,The Latest Login in 2020,2020年最后一次登录,the-latest-login-in-2020,Easy,True
1892,Page Recommendations II,页面推荐Ⅱ,page-recommendations-ii,Hard,True
1907,Count Salary Categories,按分类统计薪水,count-salary-categories,Medium,True
1917,Leetcodify Friends Recommendations,,leetcodify-friends-recommendations,Hard,True
1919,Leetcodify Similar Friends,兴趣相同的朋友,leetcodify-similar-friends,Hard,True
1934,Confirmation Rate,,confirmation-rate,Medium,True
1939,Users That Actively Request Confirmation Messages,,users-that-actively-request-confirmation-messages,Easy,True
1949,Strong Friendship,,strong-friendship,Medium,True
1951,All the Pairs With the Maximum Number of Common Followers,查询具有最多共同关注者的所有两两结对组,all-the-pairs-with-the-maximum-number-of-common-followers,Medium,True
1965,Employees With Missing Information,,employees-with-missing-information,Easy,True
1972,First and Last Call On the Same Day,,first-and-last-call-on-the-same-day,Hard,True
1978,Employees Whose Manager Left the Company,,employees-whose-manager-left-the-company,Easy,True
1988,Find Cutoff Score for Each School,,find-cutoff-score-for-each-school,Medium,True
1990,Count the Number of Experiments,,count-the-number-of-experiments,Easy,True
